CODUSU;NRO_HOGAR;COMPONENTE;ANO4;TRIMESTRE;AGLOMERADO;POND_TIC;RESPONDENTE;IP_III_04;IP_III_05;IP_III_06
"TQRMNOPSWHKKKPCDEFIAH00617479";1;3;2018;4;2;1258;1;1;2;1
"TQRMNOPSWHKMLLCDEFIAH00617399";1;1;2018;4;2;560;2;1;2;1
"TQRMNOPSWHKMLLCDEFIAH00617399";1;2;2018;4;2;560;2;1;1;1
"TQRMNOPSXHJOKNCDEFIAH00622943";1;1;2018;4;2;654;1;1;1;1
"TQRMNOPSXHJOKNCDEFIAH00622943";1;2;2018;4;2;654;1;1;1;1
"TQRMNOPSXHJOKNCDEFIAH00622943";1;3;2018;4;2;654;1;1;1;1
"TQRMNOPSXHJOKNCDEFIAH00622943";1;4;2018;4;2;654;1;1;1;1
"TQRMNOPSXHJOKNCDEFIAH00622943";1;5;2018;4;2;654;1;1;1;1
"TQRMNOPSXHJOKNCDEFIAH00622943";1;6;2018;4;2;654;1;1;1;1
"TQRMNOPSXHJOKNCDEFIAH00622943";1;7;2018;4;2;654;1;1;1;1
"TQRMNOPSXHJOKNCDEFIAH00622943";1;8;2018;4;2;654;1;1;1;1
"TQRMNOPSXHKKKPCDEFIAH00622886";1;1;2018;4;2;1258;1;1;1;1
"TQRMNOPSXHKMLLCDEFIAH00617376";1;1;2018;4;2;560;1;1;1;1
"TQRMNOPSYHJLKUCDEFIAH00622915";1;1;2018;4;2;1117;1;1;1;1
"TQRMNOPSYHJLKUCDEFIAH00622915";1;2;2018;4;2;1117;1;1;1;1
"TQRMNOPSYHJLKUCDEFIAH00622915";1;3;2018;4;2;1117;1;1;1;1
"TQRMNOPSYHJLKUCDEFIAH00622915";1;4;2018;4;2;1117;1;1;1;1
"TQRMNOPSYHJOKNCDEFIAH00622933";1;1;2018;4;2;654;3;2;2;1
"TQRMNOPSYHJOKNCDEFIAH00622933";1;2;2018;4;2;654;3;2;2;1
"TQRMNOPSYHJOKNCDEFIAH00622933";1;3;2018;4;2;654;3;1;2;1
"TQRMNOPTQHJMLSCDEFIAH00622893";1;1;2018;4;2;514;1;1;2;1
"TQRMNOPTQHJMLSCDEFIAH00622893";1;2;2018;4;2;514;1;1;2;1
"TQRMNOPTQHJMLSCDEFIAH00622893";1;3;2018;4;2;514;1;1;2;2
"TQRMNOPTQHJOKNCDEFIAH00622879";1;1;2018;4;2;654;1;2;2;2
"TQRMNOPTRHJMLSCDEFIAH00622896";1;1;2018;4;2;514;1;2;2;2
"TQRMNOPTRHJMLSCDEFIAH00622896";1;2;2018;4;2;514;1;2;2;2
"TQRMNOPTRHJMMLCDEFIAH00622997";1;1;2018;4;2;551;4;1;1;1
"TQRMNOPTRHJMMLCDEFIAH00622997";1;2;2018;4;2;551;4;1;1;1
"TQRMNOPTRHJMMLCDEFIAH00622997";1;3;2018;4;2;551;4;1;1;1
"TQRMNOPTRHJMMLCDEFIAH00622997";1;4;2018;4;2;551;4;1;1;1
"TQRMNOPTRHLMLUCDEFIAH00600573";1;1;2018;4;2;573;1;1;2;1
"TQRMNOPTRHLMLUCDEFIAH00600573";1;2;2018;4;2;573;1;1;1;1
"TQRMNOPTRHMOKNCDEFIAH00594842";1;1;2018;4;2;675;1;1;2;1
"TQRMNOPTRHMOKNCDEFIAH00594842";1;2;2018;4;2;675;1;1;2;1
"TQRMNOPTSHJMLSCDEFIAH00622929";1;1;2018;4;2;514;1;1;1;1
"TQRMNOPTSHJMLSCDEFIAH00622929";1;2;2018;4;2;514;1;1;2;1
"TQRMNOPTSHLMLUCDEFIAH00600608";1;1;2018;4;2;573;1;2;2;2
"TQRMNOPTSHLMLUCDEFIAH00600608";1;2;2018;4;2;573;1;2;2;2
"TQRMNOPTSHMOKNCDEFIAH00594803";1;1;2018;4;2;675;1;2;2;2
