,codigo_vivienda,nro_hogar,tiene_computadora,acceso_internet,uso_internet,uso_computadora,uso_movil
274,TQRMNOPYXHMOKOCDEIHJF00620860,1,1,1,1,1,1
275,TQRMNOPYXHMOKOCDEIHJF00620860,1,1,1,1,1,1
276,TQRMNOPYYHKOKUCDEIHJF00620853,1,1,1,1,1,1
277,TQRMNOPYYHKOKUCDEIHJF00620853,1,1,1,1,1,1
278,TQRMNOPYYHMOKOCDEIHJF00598493,2,1,1,1,1,1
279,TQRMNOPYYHMOKOCDEIHJF00598493,2,1,1,1,1,1
280,TQRMNOPYYHMOKOCDEIHJF00598493,2,1,1,1,2,2
281,TQRMNOPYYHMOKOCDEIHJF00598493,2,1,1,1,1,1
282,TQRMNOQPPHKMKMCDEIHJF00620941,1,1,1,2,2,1
283,TQRMNOQPPHKMKMCDEIHJF00620941,1,1,1,1,1,1
284,TQRMNOQPPHKMKMCDEIHJF00620941,1,1,1,1,1,1
285,TQRMNOQPPHKMKMCDEIHJF00620941,1,1,1,1,2,1
286,TQRMNOQPPHMOKOCDEIHJF00598499,1,1,1,1,1,1
287,TQRMNOQPPHMOKOCDEIHJF00598499,1,1,1,1,1,1
288,TQRMNOQPPHMOKOCDEIHJF00598499,1,1,1,1,2,1
289,TQRMNOQPPHMOKOCDEIHJF00598499,1,1,1,1,1,1
290,TQRMNOQPPHMOKOCDEIHJF00598499,1,1,1,1,1,1
291,TQRMNOQPQHKMKMCDEIHJF00620957,1,1,1,1,2,1
292,TQRMNOQPQHMOKOCDEIHJF00598540,1,1,1,1,1,1
293,TQRMNOQPQHMOKOCDEIHJF00598540,1,1,1,1,1,1
294,TQRMNOQPQHMOKOCDEIHJF00598540,1,1,1,1,1,1
295,TQRMNOQPRHKMKMCDEIHJF00620951,1,2,2,2,2,1
296,TQRMNOQPRHMOKOCDEIHJF00598510,1,2,2,2,2,1
297,TQRMNOQPRHMOKUCDEIHJF00598519,1,1,1,1,1,1
298,TQRMNOQPRHMOKUCDEIHJF00598519,1,1,1,1,1,1
299,TQRMNOQPRHMOKUCDEIHJF00598519,1,1,1,1,2,2
300,TQRMNOQPRHMOKUCDEIHJF00598519,1,1,1,1,2,2
301,TQRMNOQPSHMOKUCDEIHJF00598455,1,1,1,2,2,1
302,TQRMNOQPSHMOKUCDEIHJF00598455,1,1,1,1,2,1
303,TQRMNOQPSHMOKUCDEIHJF00598455,1,1,1,1,1,1
304,TQRMNOQPTHKMKMCDEIHJF00620902,1,1,1,1,2,1
305,TQRMNOQPTHKMKMCDEIHJF00620902,1,1,1,1,2,1
306,TQRMNOQPTHKMKMCDEIHJF00620902,1,1,1,1,1,1
